level,category,number,title,kind,new_path,size_bytes,sha256,original_path
advanced,listening,15,Grabbing a Refresher,audio,materials/advanced/listening/listening-15/audio.mp3,1881998,382262b1a22897e25ec94f447029ad2586e4f55cf22dbec5cabca5a512bda20a,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LIST #15 GRABBING A REFRESHER.mp3
advanced,listening,16,Hotel Check in,student_pdf,materials/advanced/listening/listening-16/student.pdf,95496,80c9a9d05c1742982443b0b5a534444d05d9f3d096b4da23ebdd5cd4d078a9aa,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #16 HOTEL CHECK IN.pdf
advanced,listening,16,Hotel Check in,audio,materials/advanced/listening/listening-16/audio.mp3,3262508,dfeaed6a789407f69027286bea27e8af608329f6d384786d7f8af7835dd27e01,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LISTENING #16 HOTEL CHECK IN.mp3
advanced,listening,16,Hotel Check in,teacher_guide,materials/advanced/listening/listening-16/teacher-guide.pdf,141014,f16fceb749a942410e42238f41630dd3a1218654cc497a073bf54e6e5e744df9,advanced/ADVANCED/LISTENING/TEACHER/ADV LISTENING #16 HOTEL CHECK IN TG.pdf
advanced,listening,17,Pizza Delivery,student_pdf,materials/advanced/listening/listening-17/student.pdf,89819,58981f52b74f398eceb7697f7f5c1e3afcaff375d71d81e05017349a350e30ed,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #17 PIZZA DELIVERY.pdf
advanced,listening,17,Pizza Delivery,audio,materials/advanced/listening/listening-17/audio.mp3,3164232,67af8aae4ae4a6c75b97ca002f78def2734154ca9b99fe65f67c4f31748fa058,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LISTENING #17 PIZZA DELIVERY.mp3
advanced,listening,17,Pizza Delivery,teacher_guide,materials/advanced/listening/listening-17/teacher-guide.pdf,118077,88104a86770de5f14c5a46d641b84d30a642aaeaf0f137401f60d1a885fc5e2a,advanced/ADVANCED/LISTENING/TEACHER/ADV LISTENING #17 PIZZA DELIVERY TG.pdf
advanced,listening,18,Car Accident,student_pdf,materials/advanced/listening/listening-18/student.pdf,98036,ba955de6d1e0bbfd04c95d2c502c77e95c983ca0e23ab0c3af64b62fcd615203,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #18 CAR ACCIDENT.pdf
advanced,listening,18,Car Accident,audio,materials/advanced/listening/listening-18/audio.mp3,2583488,587bad01e7c2dbed1c61be5a9aefa30dd53f64de8497efe635934aac2e3cefdf,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LISTENING #18 CAR ACCIDENT.mp3
advanced,listening,18,Car Accident,teacher_guide,materials/advanced/listening/listening-18/teacher-guide.pdf,108250,36de246ee5f72fdc4b40647b93cd01adbf232d7f59e58a9c13ad4daf010f7f25,advanced/ADVANCED/LISTENING/TEACHER/ADV LISTENING #18 CAR ACCIDENT TG.pdf
advanced,listening,19,Hamburguer Restaurant,student_pdf,materials/advanced/listening/listening-19/student.pdf,88713,3b1d4e32a84b3e0f58d8f4b3aa7a1e3dc975672279e552a61fa347379a9eeb04,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #19 HAMBURGUER RESTAURANT.pdf
advanced,listening,19,Hamburguer Restaurant,audio,materials/advanced/listening/listening-19/audio.mp3,2050719,446adf847880f6a11c8970a9879fa06cb25318a882eecf2f77ed3c03c8e6a290,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LISTENING #19 HAMBURGUER RESTAURANT.mp3
advanced,listening,19,Hamburguer Restaurant,teacher_guide,materials/advanced/listening/listening-19/teacher-guide.pdf,145348,16231a4d3617aed99c0abb3c2d4dbfb367fb05774ba9aa4ebce05f7df6356319,advanced/ADVANCED/LISTENING/TEACHER/ADV LISTENING #19 HAMBURGUER RESTAURANT TG.pdf
advanced,listening,20,Driverless Cars,student_pdf,materials/advanced/listening/listening-20/student.pdf,91082,647036c73e1c88410299120bca13c49ad5bdd5f1370a46ebc131d93960bc6c76,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #20 DRIVERLESS CARS.pdf
advanced,listening,20,Driverless Cars,audio,materials/advanced/listening/listening-20/audio.mp3,4862993,eb807a8fce481d1e2a55567259029bcd04df251d4b4e0d332a64a28d2ff565f8,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LISTENING #20 DRIVERLESS CARS.mp3
advanced,listening,20,Driverless Cars,teacher_guide,materials/advanced/listening/listening-20/teacher-guide.pdf,99377,3cb4bca88e25721af4a44f37b12b15c878fc8c90da7bc39683d6b7b50144a68b,advanced/ADVANCED/LISTENING/TEACHER/ADV LISTENING #20 DRIVERLESS CARS TG.pdf
advanced,listening,21,The Benefits of English,student_pdf,materials/advanced/listening/listening-21/student.pdf,90773,e10102f9344cc1bd690b22f7815c250da3c11ac23744642599d89128bb118bee,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #21 THE BENEFITS OF ENGLISH.pdf
advanced,listening,21,The Benefits of English,audio,materials/advanced/listening/listening-21/audio.mp3,3255002,ced62a06b79035000c5f9c605d90584a506c1302cfd3679a42c33e5df1493fcc,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LISTENING #21 THE BENEFITS OF ENGLISH.mp3
advanced,listening,21,The Benefits of English,teacher_guide,materials/advanced/listening/listening-21/teacher-guide.pdf,146809,093fc88de34e179cedc5770959a0161dafb3f029f23ed5f2152ef7c39af6d340,advanced/ADVANCED/LISTENING/TEACHER/ADV LISTENING #21 THE BENEFITS OF ENGLISH TG.pdf
advanced,listening,22,The Dark Side of Avocados,student_pdf,materials/advanced/listening/listening-22/student.pdf,89442,2360716fbefe9fc9594aab47004c346b6d32bfe8a8f04aa88d3c00e37f1d0fae,advanced/ADVANCED/LISTENING/STUDENT/ADV LISTENING #22 THE DARK SIDE OF AVOCADOS .pdf
advanced,listening,22,The Dark Side of Avocados,audio,materials/advanced/listening/listening-22/audio.mp3,3482718,b39b69e0d42af1c2ca1020c46bdb63ab9e71364c096ed8b000f0441ebeb23838,advanced/ADVANCED/#U00c1UDIO/LISTENING/ADV LISTENING #22 THE DARK SIDE OF AVOCADOS.mp3
